country,year,iso_code,population,gdp,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy
Africa,1965,,321010751.0,,,,0.0,0.0,0.0,0.0,,0.0
Africa,1966,,329249583.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1967,,337848285.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1968,,346798203.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1969,,356029849.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1970,,365549406.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1971,,375323722.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1972,,385309493.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1973,,395819192.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1974,,406867508.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1975,,418430739.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1976,,430494182.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1977,,442657702.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1978,,455536350.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1979,,469195661.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1980,,483048897.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1981,,497618233.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1982,,512956061.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1983,,528229902.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Africa,1984,,543635345.0,,,10.903,10.903,7.22,3.925,20.055,,0.51
Africa,1985,,559661317.0,,35.414,3.861,14.764,9.497,5.315,26.38,2.052,0.664
Africa,1986,,575964511.0,,65.626,9.689,24.453,15.284,8.803,42.455,3.259,1.079
Africa,1987,,592598524.0,,-29.944,-7.322,17.131,10.407,6.167,28.908,2.2,0.731
Africa,1988,,609384898.0,,70.148,12.017,29.147,17.219,10.493,47.831,3.553,1.161
Africa,1989,,626356339.0,,5.775,1.683,30.831,17.72,11.099,49.222,3.619,1.227
Africa,1990,,643772468.0,,-23.876,-7.361,23.469,13.124,8.449,36.456,2.65,0.903
Africa,1991,,661100942.0,,8.226,1.931,25.4,13.831,9.144,38.421,2.815,0.979
Africa,1992,,678555268.0,,1.575,0.4,25.8,13.688,9.288,38.022,2.833,0.98
Africa,1993,,696618934.0,,-21.888,-5.647,20.153,10.415,7.255,28.929,2.14,0.763
Africa,1994,,714499876.0,,33.66,6.783,26.936,13.572,9.697,37.699,2.76,0.987
Africa,1995,,732692671.0,,16.541,4.456,31.392,15.424,11.301,42.844,3.116,1.106
Africa,1996,,751470975.0,,4.194,1.317,32.708,15.669,11.775,43.526,3.081,1.123
Africa,1997,,770381870.0,,7.406,2.422,35.131,16.417,12.647,45.601,3.155,1.182
Africa,1998,,789978931.0,,7.543,2.65,37.781,17.217,13.601,47.825,3.346,1.253
Africa,1999,,810076989.0,,-5.617,-2.122,35.658,15.847,12.837,44.018,3.067,1.147
Africa,2000,,830579986.0,,1.348,0.481,36.139,15.664,13.01,43.51,2.95,1.136
Africa,2001,,851687592.0,,-17.61,-6.528,29.61,12.587,10.72,34.767,2.333,0.896
Africa,2002,,873408538.0,,11.867,3.242,32.852,13.728,11.99,37.614,2.459,0.982
Africa,2003,,895731600.0,,5.604,1.652,34.504,14.134,12.66,38.521,2.487,0.987
